,Crash ID,Month,Year,Dayweek,Time,Crash Type,Number Fatalities,Speed Limit,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Count
5220,20155018,12,2015,Friday,2:43,Single,1,110,LOCAL ROAD,No,No,Weekday,Night,1
5224,20155044,12,2015,Wednesday,21:44,Single,3,70,ARTERIAL ROAD,No,No,Weekday,Night,1
5225,20155011,12,2015,Wednesday,15:09,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day,1
5226,20155034,12,2015,Tuesday,23:18,Single,1,70,ARTERIAL ROAD,No,No,Weekday,Night,1
5234,20155121,11,2015,Monday,8:15,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day,1
5235,20155063,11,2015,Monday,11:56,Pedestrian,1,50,ARTERIAL ROAD,No,No,Weekday,Day,1
5245,20155140,11,2015,Thursday,0:56,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night,1
5254,20155004,11,2015,Monday,3:03,Single,2,90,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
5258,20155006,11,2015,Saturday,15:00,Single,1,110,LOCAL ROAD,No,No,Weekend,Day,1
5267,20155026,11,2015,Wednesday,14:24,Multiple,1,110,ARTERIAL ROAD,No,No,Weekday,Day,1
5274,20155024,11,2015,Monday,14:45,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekday,Day,1
5297,20155112,11,2015,Saturday,9:25,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day,1
5303,20155058,11,2015,Friday,18:03,Single,1,60,ARTERIAL ROAD,No,No,Weekend,Night,1
5314,20155071,11,2015,Sunday,17:20,Multiple,1,80,ACCESS ROAD,No,No,Weekend,Day,1
5324,20155042,10,2015,Wednesday,20:15,Single,1,70,LOCAL ROAD,No,No,Weekday,Night,1
5331,20155076,10,2015,Monday,13:23,Multiple,1,70,ARTERIAL ROAD,No,No,Weekday,Day,1
5332,20155130,10,2015,Monday,14:20,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5354,20155015,10,2015,Thursday,5:40,Multiple,1,90,LOCAL ROAD,No,No,Weekday,Night,1
5361,20155114,10,2015,Monday,0:50,Multiple,1,70,,No,No,Weekend,Night,1
5362,20155086,10,2015,Monday,16:10,Multiple,1,110,,No,No,Weekday,Day,1
5373,20155053,10,2015,Saturday,20:30,Single,1,110,,No,No,Weekend,Night,1
5399,20155097,10,2015,Saturday,5:39,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Night,1
5400,20155029,10,2015,Friday,17:32,Pedestrian,1,60,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5415,20155008,10,2015,Monday,13:20,Multiple,2,110,,No,No,Weekday,Day,1
5430,20155137,10,2015,Thursday,16:41,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day,1
5438,20155072,9,2015,Monday,16:48,Single,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5441,20155129,9,2015,Sunday,7:09,Multiple,1,80,,No,No,Weekend,Day,1
5442,20155111,9,2015,Sunday,14:40,Single,1,-9,ARTERIAL ROAD,No,No,Weekend,Day,1
5446,20155030,9,2015,Saturday,15:00,Single,1,110,,No,No,Weekend,Day,1
5450,20155117,9,2015,Friday,19:58,Multiple,1,90,,No,No,Weekend,Night,1
5453,20155135,9,2015,Thursday,22:22,Single,2,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night,1
5469,20155099,9,2015,Saturday,16:00,Single,1,90,ARTERIAL ROAD,No,No,Weekend,Day,1
5471,20155122,9,2015,Friday,14:20,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day,1
5475,20155106,9,2015,Thursday,21:01,Single,1,50,LOCAL ROAD,No,No,Weekday,Night,1
5495,20155120,9,2015,Saturday,23:09,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekend,Night,1
5498,20155037,9,2015,Thursday,17:56,Single,1,90,LOCAL ROAD,No,No,Weekday,Day,1
5514,20155096,9,2015,Thursday,18:51,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekday,Night,1
5517,20155043,9,2015,Tuesday,18:52,Pedestrian,1,50,LOCAL ROAD,No,No,Weekday,Night,1
5522,20155020,8,2015,Sunday,7:53,Single,1,90,LOCAL ROAD,No,No,Weekend,Day,1
5537,20155094,8,2015,Monday,5:30,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
5553,20155032,8,2015,Thursday,15:12,Pedestrian,1,80,ARTERIAL ROAD,No,No,Weekday,Day,1
5563,20155056,8,2015,Tuesday,23:45,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night,1
5564,20155041,8,2015,Tuesday,15:00,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5570,20155027,8,2015,Monday,2:19,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Night,1
5571,20155108,8,2015,Monday,2:05,Multiple,3,90,ARTERIAL ROAD,No,No,Weekend,Night,1
5572,20155119,8,2015,Monday,15:23,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Day,1
5594,20155061,8,2015,Tuesday,13:45,Single,1,50,LOCAL ROAD,No,No,Weekday,Day,1
5597,20155059,8,2015,Monday,10:01,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5610,20155074,8,2015,Wednesday,19:20,Multiple,1,110,ARTERIAL ROAD,No,No,Weekday,Night,1
5611,20155062,8,2015,Wednesday,9:38,Multiple,1,70,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5615,20155028,8,2015,Tuesday,21:06,Multiple,1,70,LOCAL ROAD,No,No,Weekday,Night,1
5616,20155101,8,2015,Tuesday,1:49,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Night,1
5622,20155051,8,2015,Sunday,14:00,Single,1,110,LOCAL ROAD,No,No,Weekend,Day,1
5628,20155012,8,2015,Saturday,6:51,Multiple,4,70,ARTERIAL ROAD,No,No,Weekend,Day,1
5641,20155040,7,2015,Tuesday,22:49,Single,1,100,ARTERIAL ROAD,No,No,Weekday,Night,1
5660,20155093,7,2015,Wednesday,22:44,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night,1
5671,20155019,7,2015,Saturday,19:15,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
5697,20155001,7,2015,Monday,22:25,Pedestrian,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night,1
5710,20155113,7,2015,Friday,17:00,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day,1
5719,20155067,6,2015,Tuesday,19:39,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night,1
5739,20155002,6,2015,Wednesday,10:54,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day,1
5743,20155064,6,2015,Saturday,4:20,Single,1,80,ARTERIAL ROAD,No,No,Weekend,Night,1
5759,20155005,6,2015,Tuesday,17:00,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekday,Day,1
5769,20155068,6,2015,Saturday,19:30,Single,1,100,LOCAL ROAD,No,No,Weekend,Night,1
5774,20155133,6,2015,Wednesday,15:28,Multiple,1,90,ARTERIAL ROAD,No,No,Weekday,Day,1
5775,20155090,6,2015,Wednesday,15:22,Multiple,1,100,ARTERIAL ROAD,No,No,Weekday,Day,1
5779,20155092,6,2015,Monday,2:34,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
5780,20155031,6,2015,Monday,13:50,Single,2,110,ARTERIAL ROAD,No,No,Weekday,Day,1
5809,20155052,5,2015,Saturday,9:31,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Day,1
5817,20155107,5,2015,Thursday,18:13,Single,1,90,ARTERIAL ROAD,No,No,Weekday,Night,1
5836,20155131,5,2015,Friday,11:18,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5854,20155127,5,2015,Saturday,3:16,Single,1,110,,No,No,Weekend,Night,1
5856,20155083,5,2015,Friday,10:49,Multiple,1,50,,No,No,Weekday,Day,1
5873,20155016,5,2015,Saturday,12:12,Single,1,110,LOCAL ROAD,No,No,Weekend,Day,1
5876,20155033,5,2015,Friday,7:43,Pedestrian,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5894,20155091,5,2015,Saturday,15:45,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day,1
5898,20155078,5,2015,Friday,3:30,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night,1
5899,20155132,5,2015,Friday,14:15,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
5908,20155136,4,2015,Sunday,0:15,Pedestrian,1,50,LOCAL ROAD,No,No,Weekend,Night,1
5924,20155050,4,2015,Monday,18:55,Multiple,1,100,ARTERIAL ROAD,No,No,Weekday,Night,1
5931,20155085,4,2015,Sunday,15:00,Single,2,110,ARTERIAL ROAD,No,No,Weekend,Day,1
5936,20155069,4,2015,Saturday,12:43,Multiple,1,60,ARTERIAL ROAD,No,No,Weekend,Day,1
5940,20155013,4,2015,Friday,9:15,Single,1,90,ARTERIAL ROAD,No,No,Weekday,Day,1
5943,20155128,4,2015,Thursday,13:25,Multiple,1,60,LOCAL ROAD,No,No,Weekday,Day,1
5954,20155010,4,2015,Sunday,7:45,Single,2,80,LOCAL ROAD,No,No,Weekend,Day,1
5955,20155110,4,2015,Sunday,8:42,Single,2,60,ARTERIAL ROAD,No,No,Weekend,Day,1
5970,20155065,4,2015,Monday,23:30,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,Yes,Weekday,Night,1
5984,20155070,4,2015,Friday,9:30,Single,1,110,NATIONAL OR STATE HIGHWAY,No,Yes,Weekday,Day,1
5985,20155138,4,2015,Thursday,12:34,Single,1,60,,No,Yes,Weekday,Day,1
5995,20155073,3,2015,Monday,5:45,Multiple,1,70,ARTERIAL ROAD,No,No,Weekend,Night,1
5997,20155109,3,2015,Sunday,6:06,Multiple,1,90,LOCAL ROAD,No,No,Weekend,Day,1
5999,20155036,3,2015,Saturday,4:40,Multiple,2,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
6000,20155039,3,2015,Saturday,8:48,Multiple,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day,1
6001,20155007,3,2015,Saturday,8:45,Multiple,1,80,ARTERIAL ROAD,No,No,Weekend,Day,1
6009,20155088,3,2015,Wednesday,20:15,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Night,1
6015,20155017,3,2015,Saturday,15:30,Single,2,110,ARTERIAL ROAD,No,No,Weekend,Day,1
6021,20155125,3,2015,Friday,10:45,Multiple,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
6034,20155057,3,2015,Saturday,22:00,Single,1,80,ARTERIAL ROAD,No,No,Weekend,Night,1
6039,20155134,3,2015,Friday,15:00,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
6049,20155025,3,2015,Monday,5:45,Single,1,40,ARTERIAL ROAD,No,No,Weekend,Night,1
6050,20155126,3,2015,Monday,18:30,Pedestrian,1,-9,,No,No,Weekday,Night,1
6059,20155054,3,2015,Saturday,3:35,Single,1,110,LOCAL ROAD,No,No,Weekend,Night,1
6063,20155118,3,2015,Thursday,10:28,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
6066,20155047,3,2015,Tuesday,8:35,Single,1,110,,No,No,Weekday,Day,1
6077,20155077,3,2015,Sunday,14:07,Multiple,1,60,,No,No,Weekend,Day,1
6078,20155124,3,2015,Sunday,9:00,Single,1,110,,No,No,Weekend,Day,1
6080,20155038,2,2015,Saturday,18:00,Single,1,110,,No,No,Weekend,Night,1
6083,20155087,2,2015,Friday,14:59,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
6087,20155141,2,2015,Sunday,7:30,Single,1,110,,No,No,Weekend,Day,1
6098,20155095,2,2015,Thursday,4:05,Single,1,110,,No,No,Weekday,Night,1
6106,20155104,2,2015,Monday,5:17,Multiple,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
6108,20155048,2,2015,Friday,21:20,Single,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
6109,20155060,2,2015,Friday,2:30,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Night,1
6114,20155123,2,2015,Tuesday,18:45,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Night,1
6118,20155084,2,2015,Monday,11:50,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Day,1
6124,20155105,2,2015,Sunday,8:30,Single,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day,1
6128,20155014,2,2015,Saturday,11:19,Single,1,110,LOCAL ROAD,No,No,Weekend,Day,1
6141,20155075,2,2015,Monday,9:23,Single,1,50,LOCAL ROAD,No,No,Weekday,Day,1
6142,20155022,2,2015,Monday,8:00,Pedestrian,1,60,,No,No,Weekday,Day,1
6155,20155023,1,2015,Wednesday,17:41,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day,1
6158,20155055,1,2015,Tuesday,14:46,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
6165,20155049,1,2015,Monday,15:56,Single,1,90,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
6170,20155089,1,2015,Sunday,16:49,Multiple,1,110,ARTERIAL ROAD,No,No,Weekend,Day,1
6193,20155100,1,2015,Sunday,14:32,Multiple,1,70,LOCAL ROAD,No,No,Weekend,Day,1
6208,20155066,1,2015,Thursday,17:38,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,1
6213,20155098,1,2015,Tuesday,18:04,Multiple,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night,1
6231,20155079,1,2015,Monday,16:00,Single,1,80,LOCAL ROAD,No,No,Weekday,Day,1
6233,20155115,1,2015,Sunday,22:20,Multiple,1,70,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night,1
6240,20155082,1,2015,Thursday,21:45,Single,1,110,NATIONAL OR STATE HIGHWAY,Yes,No,Weekday,Night,1